TimeAttackSub,Clear within {0}.,{0} 안에 클리어하기.,{0}以内にクリアする。,在{0}内完成。,在{0}內完成。,Terminez en moins de {0}.,Completa en menos de {0}.,Completa entro {0}.,Schließe in {0} ab.,Conclua dentro de {0}.,Пройдите за {0}.,Selesaikan dalam {0}.,Hoàn thành trong {0}.,ผ่านให้ทัน {0},{0} içinde tamamla.,
SurvivalTitle1,Survival Challenger,서바이벌 모드 도전자,サバイバル挑戦者,生存挑战者,生存挑戰者,Défi Survie,Desafío de supervivencia,Sfida sopravvivenza,Überlebens-Herausforderer,Desafiante de sobrevivência,Испытание на выживание,Penantang survival,Thử thách sinh tồn,ผู้ท้าชิงโหมดเอาชีวิตรอด,Hayatta Kalma Adayı,
SurvivalTitle2,Survival Skilled,서바이벌 모드 실력자,サバイバル熟練者,生存高手,生存高手,Expert Survie,Experto en supervivencia,Esperto sopravvivenza,Überlebens-Könner,Especialista em sobrevivência,Опытный выживальщик,Ahli survival,Người chơi có kỹ năng,ผู้เล่นชำนาญโหมดเอาชีวิตรอด,Hayatta Kalma Yetkin,
SurvivalTitle3,Survival Adept,서바이벌 모드 숙련자,サバイバル上級者,生存达人,生存達人,Maître Survie,Dominador de supervivencia,Dominatore sopravvivenza,Überlebens-Profi,Especialista avançado,Профессионал выживания,Ahli mahir survival,Người thành thạo sinh tồn,ผู้เชี่ยวชาญเอาชีวิตรอด,Hayatta Kalma Ustalaşmış,
SurvivalTitle4,Survival Expert,서바이벌 모드 전문가,サバイバルエキスパート,生存专家,生存專家,Expert Survie,Experto experto,Esperto esperto,Überlebens-Experte,Especialista sobrevivência,Эксперт по выживанию,Ahli pakar survival,Chuyên gia sinh tồn,ผู้เชี่ยวชาญเอาชีวิตรอด,Hayatta Kalma Uzmanı,
SurvivalTitle5,Survival Master,서바이벌 모드 마스터,サバイバルマスター,生存大师,生存大師,Maître Survie,Maestro de supervivencia,Maestro sopravvivenza,Überlebens-Meister,Mestre da sobrevivência,Мастер выживания,Master survival,Bậc thầy sinh tồn,มาสเตอร์เอาชีวิตรอด,Hayatta Kalma Ustası,
SurvivalSub,Achieve {0} points or more.,{0}점 이상 달성.,{0}点以上を達成する。,达到{0}分以上。,達到{0}分以上。,Obtenez au moins {0} points.,Consigue {0} puntos o más.,Ottieni almeno {0} punti.,Erreiche mindestens {0} Punkte.,Obtenha {0} pontos ou mais.,Наберите не менее {0} очков.,Capai minimal {0} poin.,Đạt trên {0} điểm.,ทำให้ได้ {0} คะแนนขึ้นไป,En az {0} puan al.,
ItemUseTitle,Item Specialist,아이템 전문가,アイテムの達人,道具达人,道具達人,Spécialiste des objets,Especialista en objetos,Specialista degli oggetti,Objekt-Spezialist,Especialista em itens,Мастер предметов,Spesialis Item,Chuyên gia vật phẩm,ผู้เชี่ยวชาญไอเท็ม,Eşya Uzmanı,
ItemUseSub,Use items {0} times.,아이템 {0}회 사용하기.,アイテムを{0}回使用する。,使用道具{0}次。,使用道具{0}次。,Utilisez des objets {0} fois.,Usa objetos {0} veces.,Usa oggetti {0} volte.,Verwende Items {0}-mal.,Use itens {0} vezes.,Используйте предметы {0} раз.,Gunakan item sebanyak {0} kali.,Sử dụng vật phẩm {0} lần.,ใช้ไอเท็ม {0} ครั้ง,{0} kez eşya kullan.,
StagePlayTitle,Persistent Player,꾸준한 플레이,コツコツプレイヤー,坚持不懈的玩家,持續挑戰的玩家,Joueur persévérant,Jugador constante,Giocatore costante,Beständiger Spieler,Jogador persistente,Упорный игрок,Pemain Tekun,Người chơi bền bỉ,ผู้เล่นผู้มุ่งมั่น,Kararlı Oyuncu,
StagePlaySub,Clear {0} stages.,스테이지 {0}회 클리어하기.,ステージを{0}回クリアする。,通关{0}个关卡。,通關{0}個關卡。,Terminez {0} niveaux.,Completa {0} niveles.,Completa {0} livelli.,Schließe {0} Stufen ab.,Complete {0} fases.,Пройдите {0} уровней.,Selesaikan {0} level.,Hoàn thành {0} màn.,เคลียร์ด่าน {0} ครั้ง,{0} bölüm tamamla.,
TimeAttackPlayTitle,Time-Attack Challenger,타임어택 도전자,タイムアタック挑戦者,限时挑战者,限時挑戰者,Challenger de Time-Attack,Desafiante de Time Attack,Sfidante Time Attack,Time-Attack Herausforderer,Desafiante de Time Attack,Участник тайм-атаки,Penantang Time-Attack,Thử thách Time Attack,ผู้ท้าชิงไทม์แอตแทค,Zaman Saldırısı Meydan Okuyanı,
TimeAttackPlaySub,Clear Time-Attack {0} times.,타임어택 {0}회 클리어하기.,タイムアタックを{0}回クリアする。,完成限时挑战{0}次。,完成限時挑戰{0}次。,Terminez le Time-Attack {0} fois.,Completa el Time Attack {0} veces.,Completa il Time Attack {0} volte.,Schließe Time-Attack {0}-mal ab.,Complete o Time Attack {0} vezes.,Пройдите тайм-атаку {0} раз.,Selesaikan Time-Attack {0} kali.,Hoàn thành Time-Attack {0} lần.,เคลียร์ไทม์แอตแทค {0} ครั้ง,{0} kez Time Attack tamamla.,
SurvivalPlayTitle,Survival Mode Challenger,서바이벌 모드 도전자,サバイバルモード挑戦者,生存模式挑战者,生存模式挑戰者,Challenger du mode Survie,Desafiante del modo Supervivencia,Sfidante Modalità Sopravvivenza,Überlebensmodus-Herausforderer,Desafiante do modo Sobrevivência,Испытатель режима выживания,Penantang Mode Survival,Người thách đấu chế độ sinh tồn,ผู้ท้าชิงโหมดเซอร์ไววัล,Hayatta Kalma Modu Meydan Okuyanı,
SurvivalPlaySub,Clear Survival Mode {0} times.,서바이벌 모드 {0}회 클리어하기.,サバイバルモードを{0}回クリアする。,通关生存模式{0}次。,通關生存模式{0}次。,Terminez le mode Survie {0} fois.,Completa el modo Supervivencia {0} veces.,Completa la modalità Sopravvivenza {0} volte.,Schließe den Überlebensmodus {0}-mal ab.,Complete o modo Sobrevivência {0} vezes.,Пройдите режим выживания {0} раз.,Selesaikan Mode Survival {0} kali.,Hoàn thành chế độ Sinh tồn {0} lần.,เคลียร์โหมดเซอร์ไววัล {0} ครั้ง,Hayatta Kalma Modu {0} kez tamamla.,
AdsFreeGoldTitle,Today’s Free Gold,오늘의 무료 골드,今日の無料ゴールド,今日免费金币,今日免費金幣,Or gratuit du jour,Oro gratis de hoy,Oro gratis del giorno,Heutiges Gratis-Gold,Ouro grátis de hoje,Бесплатное золото дня,Emas Gratis Hari Ini,Vàng miễn phí hôm nay,ทองฟรีวันนี้,Bugünün Ücretsiz Altını,
AdsFreeGoldSub,Claim rewards {0} times by watching ads.,광고를 보고 {0}회 보상받기.,広告を見て{0}回報酬を受け取る。,观看广告领取{0}次奖励。,觀看廣告領取{0}次獎勵。,Obtenez {0} récompenses en regardant des pubs.,Obtén recompensas {0} veces viendo anuncios.,Ricevi ricompense {0} volte guardando annunci.,Erhalte {0} Belohnungen durch das Ansehen von Werbung.,Receba recompensas {0} vezes assistindo anúncios.,Получите {0} наград, просмотрев рекламу.,Dapatkan hadiah {0} kali dengan menonton iklan.,Nhận thưởng {0} lần bằng cách xem quảng cáo.,รับรางวัล {0} ครั้งโดยดูโฆษณา,Reklam izleyerek {0} kez ödül al.
