Confirm Purchase,Confirm Purchase?,구매 하시겠습니까?,購入しますか？,要购买吗？,要購買嗎？,Voulez-vous acheter ?,¿Desea comprarlo?,Vuoi acquistare?,Möchten Sie kaufen?,Confirmar Compra?,Подтвердить покупку?,Konfirmasi Pembelian?,Xác nhận mua?,ยืนยันการซื้อ?,Satın almayı onaylıyor musunuz?
OK,OK,확인,確認,确认,確認,OK,Confirmar,Conferma,Bestätigen,OK,OK,OK,OK,ตกลง,Tamam
CANCEL,CANCEL,취소,キャンセル,取消,取消,Annuler,Cancelar,Annulla,Abbrechen,Cancelar,Отмена,Batal,Hủy,ยกเลิก,İptal
Purchase Complete,Purchase Complete,구매 완료,購入完了,购买完成,購買完成,Achat effectué,Compra completada,Acquisto completato,Kauf abgeschlossen,Compra Concluída,Покупка завершена,Pembelian Berhasil,Mua thành công,ซื้อสำเร็จ,Satın alma tamamlandı
NEW RECORD,NEW RECORD,신기록,新記録,新纪录,新紀錄,Nouveau record,Nuevo récord,Nuovo record,Neuer Rekord,Novo Recorde,Новый рекорд,Rekor Baru,Kỷ lục mới,สถิติใหม่,Yeni Rekor
CLEAR,CLEAR!,클리어,クリア,通关,通關,Terminé,Completado,Completato,Abgeschlossen,Concluído!,Готово!,Selesai!,Hoàn tất!,เคลียร์!,Tamamlandı!
Mission Complete,Mission Complete!!,미션 완료!!,ミッションクリア!!,任务完成!!,任務完成!!,Mission terminée!!,¡Misión completada!!,Missione completata!!,Mission abgeschlossen!!,Missão concluída!!,Миссия выполнена!!,Misi selesai!!,Hoàn thành nhiệm vụ!!,ภารกิจสำเร็จ!!,Görev tamamlandı!!
Pre Best Time,Previous Best Time :,이전 최고 기록 :,前回の最高記録：,上次最佳成绩：,上次最佳成績：,Ancien meilleur temps :,Mejor tiempo anterior :,Precedente miglior tempo :,Vorherige beste Zeit :,Melhor tempo anterior :,Пред. лучший результат :,Waktu Terbaik Sebelumnya :,Thời gian tốt nhất trước :,เวลาที่ดีที่สุดก่อนหน้า :,Önceki En İyi Zaman :
Best Time,Best Time :,최고 기록 :,最高記録：,最高纪录：,最高紀錄：,Meilleur record :,Mejor récord :,Record migliore :,Bester Rekord :,Melhor Tempo:,Лучший результат:,Waktu Terbaik:,Thời gian tốt nhất:,เวลาที่ดีที่สุด:,En İyi Zaman:
Best Score,Best Score :,최고 점수 :,最高スコア：,最高分数：,最高分數：,Meilleur score :,Mejor puntuación :,Miglior punteggio :,Bester Score :,Melhor pontuação :,Лучший счёт :,Skor Terbaik :,Điểm cao nhất :,คะแนนสูงสุด :,En İyi Skor :
Score,Score :,점수 :,スコア：,分数：,分數：,Score :,Puntuación :,Punteggio :,Score :,Pontuação :,Счёт :,Skor :,Điểm :,คะแนน :,Skor :
Pre Best Score,Previous Best Score :,이전 최고 점수 :,前回の最高スコア：,上次最高分数：,上次最高分數：,Meilleur score précédent :,Mejor puntuación anterior :,Miglior punteggio precedente :,Vorheriger bester Score :,Melhor pontuação anterior :,Пред. лучший счёт :,Skor Terbaik Sebelumnya :,Điểm cao nhất trước :,คะแนนสูงสุดก่อนหน้า :,Önceki En İyi Skor :
Total Time,Total Time :,총 시간 :,合計時間：,总时间：,總時間：,Temps total :,Tiempo total :,Tempo totale :,Gesamtzeit :,Tempo Total:,Общее время:,Total Waktu:,Tổng thời gian:,เวลารวม:,Toplam Süre:
Avg. Time,Avg. Time :,평균 시간 :,平均時間：,平均时间：,平均時間：,Temps moyen :,Tiempo medio :,Tempo medio :,Durchschnittszeit :,Tempo Médio:,Среднее время:,Rata-rata:,Trung bình:,เวลาเฉลี่ย:,Ortalama:
Fastest,Fastest :,가장 빠른 시간 :,最短時間：,最短时间：,最短時間：,Temps le plus court :,Tiempo más rápido :,Tempo più veloce :,Kürzeste Zeit :,Mais Rápido:,Самое быстрое:,Tercepat:,Nhanh nhất:,เร็วที่สุด:,En Hızlı:
Longest,Longest :,가장 오래걸린 시간 :,最長時間：,最长时间：,最長時間：,Temps le plus long :,Tiempo más largo :,Tempo più lungo :,Längste Zeit :,Mais Longo:,Самое длинное:,Terlama:,Lâu nhất:,นานที่สุด:,En Uzun:
TIME_ATTACK,TIME\nATTACK,타임\n어택,タイム\nアタック,计时\n挑战,計時\n挑戰,Défi\nchronométré,Ataque\nde tiempo,Sfida\na tempo,Zeit\nangriff,Time Attack,Тайм-Атак,Time Attack,Thử thách thời gian,ไทม์แอตแทค,Zaman Saldırısı
SURVIVAL_MODE,SURVIVAL\nMODE,서바이벌\n모드,サバイバル\nモード,生存\n模式,生存\n模式,Mode\nsurvie,Modo\nsupervivencia,Modalità\nsopravvivenza,Überlebens\nmodus,Modo de Sobrevivência,Выживание,Mode Survival,Chế độ sinh tồn,เอาชีวิตรอด,Hayatta Kalma Modu
SURVIVAL RESULTS,SURVIVAL RESULTS,서바이벌 결과,サバイバル結果,生存模式结果,生存模式結果,Résultats survie,Resultados de supervivencia,Risultati sopravvivenza,Überlebensergebnisse,Resultados de sobrevivência,Результаты выживания,Hasil Survival,Kết quả sinh tồn,ผลลัพธ์เอาชีวิตรอด,Hayatta Kalma Sonuçları
Reset,Reset,리셋,リセット,重置,重置,Réinitialiser,Reiniciar,Ripristina,Zurücksetzen,Redefinir,Сброс,Reset,Đặt lại,รีเซ็ต,Sıfırla
Hint,Hint,힌트,ヒント,提示,提示,Indice,Pista,Suggerimento,Hinweis,Dica,Подсказка,Petunjuk,Gợi ý,คำใบ้,İpucu
Change,Change,변경,変更,更改,更改,Changer,Cambiar,Cambia,Ändern,Alterar,Изменить,Ubah,Thay đổi,เปลี่ยน,Değiştir
SHOP,SHOP,상점,ショップ,商店,商店,Boutique,Tienda,Negozio,Laden,Loja,Магазин,Toko,Cửa hàng,ร้านค้า,Mağaza
ACHIEVEMENT,ACHIEVEMENT,업적,実績,成就,成就,Succès,Logro,Traguardo,Errungenschaft,Conquistas,Достижения,Pencapaian,Thành tựu,ความสำเร็จ,Başarılar
LEADERBOARD,LEADERBOARD,랭킹,ランキング,排行榜,排行榜,Classement,Clasificación,Classifica,Bestenliste,Ranking,Лидеры,Papan Peringkat,Bảng xếp hạng,กระดานผู้นำ,Liderlik Tablosu
BestTime,Best Time,최고 기록,最高記録,最高纪录,最高紀錄,Meilleur record,Mejor récord,Record migliore,Bester Rekord,Melhor Tempo,Лучшее время,Waktu Terbaik,Thời gian tốt nhất,เวลาที่ดีที่สุด,En İyi Zaman
Are You Exit,Are you sure you want to exit?,종료하시겠습니까?,終了しますか？,确定要退出吗？,確定要退出嗎？,Voulez-vous vraiment quitter ?,¿Seguro que quieres salir?,Sei sicuro di voler uscire?,Möchtest du wirklich beenden?,Tem certeza que deseja sair?,"Вы уверены, что хотите выйти?",Yakin ingin keluar?,Bạn có chắc muốn thoát?,คุณต้องการออกจากเกมหรือไม่?,Çıkmak istediğinize emin misiniz?
GOLD PACK,GOLD PACK,골드팩,ゴールドパック,黄金礼包,黃金禮包,Pack d’or,Paquete de oro,Pacchetto oro,Goldpaket,Pacote de Ouro,Золотой набор,Paket Emas,Gói vàng,แพ็กทอง,Altın Paketi
ITEM,ITEM,아이템,アイテム,道具,道具,Objet,Artículo,Oggetto,Gegenstand,Item,Предмет,Item,Vật phẩm,ไอเทม,Öğe
Go to the store,Go to the store to <color=#FF6600>update</color>\nto the latest version.,최신 버전으로 <color=#FF6600>업데이트</color>를 위해\n스토어로 이동합니다.,最新バージョンに<color=#FF6600>アップデート</color>するため、ストアに移動します。,为了<color=#FF6600>更新</color>到最新版本，请前往商店。,為了<color=#FF6600>更新</color>到最新版本，請前往商店。,Accédez à la boutique pour <color=#FF6600>mettre à jour</color> vers la dernière version.,Ve a la tienda para <color=#FF6600>actualizar</color> a la última versión.,Vai al negozio per <color=#FF6600>aggiornare</color> alla versione più recente.,"Gehe zum Laden, um auf die neueste Version <color=#FF6600>zu aktualisieren</color>.",Ir à loja para <color=#FF6600>atualizar</color>\npara a versão mais recente.,"Перейдите в магазин, чтобы <color=#FF6600>обновить</color>\nдо последней версии.",Pergi ke toko untuk <color=#FF6600>memperbarui</color>\nke versi terbaru.,Vào cửa hàng để <color=#FF6600>cập nhật</color>\nphiên bản mới nhất.,ไปที่ร้านเพื่อ <color=#FF6600>อัปเดต</color>\nเป็นเวอร์ชันล่าสุด,Mağazaya gidip <color=#FF6600>güncelleyin</color>\nen son sürüme geçin.
Latest version update,Latest version update!!,최신 버전 업데이트!!,最新バージョンの更新!!,最新版本更新!!,最新版本更新!!,Mise à jour vers la dernière version!!,¡Actualización a la última versión!,Aggiornamento all’ultima versione!!,Neueste Version aktualisieren!!,Atualização disponível!!,Обновление доступно!!,Pembaruan tersedia!!,Cập nhật mới!!,อัปเดตเวอร์ชันใหม่!!,Yeni sürüm güncellemesi!!
ad earn gold,Would you like to watch the ad and earn <color=#FF6600>{0}gold</color>?,광고를 보고 <color=#FF6600>{0}골드를</color>\n획득하시겠습니까?,広告を見て<color=#FF6600>{0}ゴールド</color>を獲得しますか？,想通过观看广告获得<color=#FF6600>{0}金币</color>吗？,想透過觀看廣告獲得<color=#FF6600>{0}金幣</color>嗎？,Voulez-vous regarder une publicité pour gagner <color=#FF6600>{0} or</color> ?,¿Quieres ver un anuncio y ganar <color=#FF6600>{0} oro</color>?,Vuoi guardare un annuncio e guadagnare <color=#FF6600>{0} oro</color>?,Möchtest du eine Werbung ansehen und <color=#FF6600>{0} Gold</color> verdienen?,Deseja assistir ao anúncio e ganhar <color=#FF6600>{0}ouro</color>?,Посмотреть рекламу и получить <color=#FF6600>{0} золота</color>?,Tonton iklan dan dapatkan <color=#FF6600>{0} emas</color>?,Xem quảng cáo để nhận <color=#FF6600>{0} vàng</color>?,ดูโฆษณาและรับ <color=#FF6600>{0} ทอง</color> หรือไม่?,Reklam izleyip <color=#FF6600>{0} altın</color> kazanmak ister misiniz?
Watch Ads,Watch Ads,시청하기,広告を見る,看广告,看廣告,Regarder publicité,Ver anuncio,Guarda annunci,Werbung ansehen,Assistir Anúncio,Смотреть рекламу,Tonton Iklan,Xem quảng cáo,ดูโฆษณา,Reklam İzle
Ad viewing complete,Ad viewing complete!!,광고시청완료!!,広告視聴完了!!,广告观看完成!!,廣告觀看完成!!,Visionnage terminé!!,¡Anuncio visto!,Visione completata!!,Werbung fertig angesehen!!,Visualização concluída!!,Просмотр завершён!,Iklan selesai!,Xem xong!,ดูโฆษณาสำเร็จ!!,Reklam tamamlandı!!
Earn Gold,<color=#FF6600>{0}Gold</color> has been paid!,<color=#FF6600>{0}골드</color>가\n지급되었습니다!,<color=#FF6600>{0}ゴールド</color>が支払われました！,已获得<color=#FF6600>{0}金币</color>！,已獲得<color=#FF6600>{0}金幣</color>！,<color=#FF6600>{0} or</color> a été versé !,¡Has recibido <color=#FF6600>{0} monedas de oro</color>!,<color=#FF6600>{0} oro</color> è stato accreditato!,<color=#FF6600>{0} Gold</color> wurde gutgeschrieben!,<color=#FF6600>{0}Ouro</color> recebido!,<color=#FF6600>{0} золота</color> получено!,<color=#FF6600>{0} Emas</color> diterima!,<color=#FF6600>{0} vàng</color> đã nhận!,ได้รับ <color=#FF6600>{0} ทอง</color> แล้ว!,<color=#FF6600>{0} Altın</color> alındı!
Del Warning,Deleting your account will\ndelete all game data.,계정을 삭제하면 게임데이터가\n모두 삭제됩니다.,アカウントを削除すると、\nすべてのゲームデータが削除されます。,删除账户将清除所有游戏数据。,刪除帳號將清除所有遊戲資料。,Supprimer votre compte effacera toutes les données du jeu.,Eliminar tu cuenta borrará todos los datos del juego.,L’eliminazione dell’account cancellerà tutti i dati di gioco.,Das Löschen des Kontos entfernt alle Spieldaten.,Excluir sua conta apagará todos os dados.,Удаление аккаунта\nудалит все данные.,Menghapus akun akan\nmenghapus semua data.,Xóa tài khoản sẽ xóa toàn bộ dữ liệu.,การลบบัญชีจะลบข้อมูลทั้งหมด,Hesabı silmek tüm verileri silecek.
Del Your Account,Are you sure you want to delete your account?,계정 삭제를 진행하시겠습니까?,アカウントを削除しますか？,确定要删除账户吗？,確定要刪除帳號嗎？,Voulez-vous vraiment supprimer votre compte ?,¿Seguro que quieres eliminar tu cuenta?,Sei sicuro di voler eliminare il tuo account?,Möchtest du dein Konto wirklich löschen?,Deseja excluir sua conta?,Удалить аккаунт?,Yakin ingin menghapus akun?,Bạn có chắc muốn xóa tài khoản?,คุณต้องการลบบัญชีหรือไม่?,Hesabı silmek istediğinize emin misiniz?
Deletion in progress,Deletion in progress,삭제진행,削除中…,删除中…,刪除中…,Suppression en cours…,Eliminando…,Eliminazione in corso…,Wird gelöscht…,Excluindo...,Удаление...,Menghapus...,Đang xóa...,กำลังลบ...,Siliniyor...
Your account Del,Your account information will be deleted.\nAre you sure you want to delete it?,계정정보를 삭제합니다.\n정말로 삭제하시겠습니까?,アカウント情報が削除されます。\n本当に削除しますか？,账户信息将被删除。<br>是否继续？,帳號資訊將被刪除。\n是否繼續？,Les informations de votre compte seront supprimées.<br>Voulez-vous continuer ?,Se eliminará la información de tu cuenta.\n¿Deseas continuar?,Le informazioni dell’account verranno eliminate.\nConfermi?,Deine Kontoinformationen werden gelöscht.<br>Möchtest du fortfahren?,As informações da conta serão excluídas.\nTem certeza?,Информация будет удалена.\nПродолжить?,Info akun akan dihapus.\nLanjutkan?,Thông tin tài khoản sẽ bị xóa.\nTiếp tục?,ข้อมูลบัญชีจะถูกลบ\nต้องการดำเนินการต่อหรือไม่?,Hesap bilgileri silinecek.\nDevam edilsin mi?
Delete account,Delete account,계정삭제,アカウント削除,删除账户,刪除帳號,Supprimer le compte,Eliminar cuenta,Elimina account,Konto löschen,Excluir Conta,Удалить аккаунт,Hapus Akun,Xóa tài khoản,ลบบัญชี,Hesabı Sil
AppName,Just One Match,성냥개비 하나만!,マッチは1本だけ！,只动一根火柴！,只動一根火柴！,Une Seule Allumette,Solo una Cerilla,Un Solo Fiammifero,Nur ein Streichholz,Just One Match,Just One Match,Just One Match,Just One Match,Just One Match,Just One Match
GameName,Game Name : {0},게임명 : {0},ゲーム名 : {0},游戏名称 : {0},遊戲名稱 : {0},Nom du jeu : {0},Nombre del juego : {0},Nome del gioco : {0},Spielname : {0},Nome do Jogo: {0},Название игры: {0},Nama Game: {0},Tên game: {0},ชื่อเกม: {0},Oyun Adı: {0}
AccountID,Account ID : ,계정 ID : ,アカウントID : ,账号ID : ,帳號ID :,ID du compte : ,ID de cuenta : ,ID account : ,Konto-ID : ,Account ID:,ID Аккаунта:,ID Akun:,ID Tài khoản:,Account ID:,Hesap ID:
ServerID,Server ID : ,서버 ID : ,サーバーID : ,服务器ID : ,伺服器ID :,ID du serveur : ,ID del servidor : ,ID server : ,Server-ID : ,Server ID:,ID Сервера:,ID Server:,ID Máy chủ:,Server ID:,Sunucu ID:
Not linked,Not linked,미연동,未連携,未绑定,未綁定,Non lié,No vinculado,Non collegato,Nicht verbunden,Não vinculado,Не привязан,Belum ditautkan,Chưa liên kết,ยังไม่ได้เชื่อมบัญชี,Bağlı değil
Account deletion online,Account deletion is\nonly possible when you are online.\nPlease connect to\nthe network and try again.,온라인 상태에서만\n계정 삭제가 가능합니다.\n네트워크 연결 후\n다시 진행해 주세요.,オンライン状態でのみアカウントを削除できます。<br>ネットワークに接続して再試行してください。,只能在联网状态下删除账户。\n请连接网络后重试。,只能在連網狀態下刪除帳號。\n請連接網路後重試。,La suppression du compte n’est possible qu’en ligne.\nVeuillez vous connecter au réseau et réessayer.,Solo puedes eliminar tu cuenta estando en línea.\nConéctate a la red e inténtalo de nuevo.,Puoi eliminare l’account solo online.\nConnettiti alla rete e riprova.,Konto kann nur online gelöscht werden.\nBitte stelle eine Verbindung her und versuche es erneut.,A exclusão da conta só é possível online.\nConecte-se e tente novamente.,Удаление аккаунта возможно\nтолько при подключении к сети.\nПодключитесь и попробуйте снова.,Penghapusan akun hanya dapat dilakukan online.\nHubungkan internet lalu coba lagi.,Xóa tài khoản chỉ khi có mạng.\nHãy kết nối internet và thử lại.,การลบบัญชีทำได้เฉพาะเมื่อออนไลน์\nโปรดเชื่อมต่ออินเทอร์เน็ตและลองใหม่อีกครั้ง,Hesap silme işlemi yalnızca çevrimiçi yapılabilir.\nLütfen bağlanıp tekrar deneyin.
Account deletion fail,Account deletion failed.\nPlease try again later.\n({0}),계정삭제에 실패했습니다.\n잠시 후 다시 시도해주세요.\n({0}),アカウント削除に失敗しました。\nしばらくしてから再試行してください。({0}),删除账户失败。\n请稍后再试。\n({0}),刪除帳號失敗。\n請稍後再試。\n({0}),Échec de la suppression du compte.\nVeuillez réessayer plus tard.\n({0}),Error al eliminar la cuenta.\nInténtalo de nuevo más tarde.\n({0}),Eliminazione dell’account non riuscita.\nRiprova più tardi.({0}),Kontolöschung fehlgeschlagen.\nBitte versuche es später erneut.\n({0}),Falha ao excluir conta.\nTente mais tarde.\n({0}),Ошибка удаления аккаунта.\nПовторите позже.\n({0}),Gagal menghapus akun.\nCoba lagi nanti.\n({0}),Xóa tài khoản thất bại.\nVui lòng thử lại.\n({0}),ลบบัญชีไม่สำเร็จ\nโปรดลองใหม่ภายหลัง\n({0}),Hesap silinemedi.\nLütfen daha sonra tekrar deneyin.\n({0})
Account deletion completed,Account deletion has been completed.\nThe game will restart.,계정삭제가 완료되었습니다.\n게임이 다시 시작됩니다.,アカウント削除が完了しました。\nゲームが再起動します。,账户删除已完成。<br>游戏将重新启动。,帳號刪除已完成。\n遊戲將重新啟動。,La suppression du compte est terminée.\nLe jeu va redémarrer.,La eliminación de la cuenta se ha completado.\nEl juego se reiniciará.,Eliminazione dell’account completata.\nIl gioco verrà riavviato.,Kontolöschung abgeschlossen.\nDas Spiel wird neu gestartet.,Conta excluída.\nO jogo será reiniciado.,Аккаунт удалён.\nИгра перезапустится.,Akun berhasil dihapus.\nGame akan dimulai ulang.,Đã xóa tài khoản.\nGame sẽ khởi động lại.,ลบบัญชีเสร็จสิ้น\nเกมจะเริ่มใหม่,Hesap silindi.\nOyun yeniden başlatılacak.
LogOut Fail,Logout failed\nAccount deletion failed.\nPlease contact customer service.\n({0}),로그아웃이 실패하여\n계정삭제에 실패했습니다.\n고객센터에 문의해주세요.\n({0}),ログアウトに失敗し、\nアカウント削除に失敗しました。\nサポートセンターにお問い合わせください。\n({0}),注销失败。<br>账户删除失败。\n请联系客户服务。\n({0}),登出失敗。\n帳號刪除失敗。\n請聯絡客服。\n({0}),Échec de la déconnexion.<br>Échec de la suppression du compte.<br>Contactez le service client.({0}),Fallo al cerrar sesión.<br>Error al eliminar la cuenta.\nContacta con el servicio de atención al cliente.\n({0}),Disconnessione fallita.<br>Eliminazione dell’account fallita.\nContatta l’assistenza clienti.({0}),Abmeldung fehlgeschlagen.\nKontolöschung fehlgeschlagen.\nBitte kontaktiere den Kundendienst.\n({0}),Falha ao sair.\nFalha ao excluir.\nContate o suporte.\n({0}),Ошибка выхода.\nОшибка удаления.\nОбратитесь в поддержку.\n({0}),Gagal logout.\nPenghapusan gagal.\nHubungi layanan.\n({0}),Đăng xuất thất bại.\nXóa tài khoản thất bại.\nLiên hệ hỗ trợ.\n({0}),ออกจากระบบล้มเหลว\nลบบัญชีล้มเหลว\nโปรดติดต่อฝ่ายบริการ\n({0}),Çıkış başarısız.\nHesap silinemedi.\nLütfen destekle iletişime geçin.\n({0})
invalid character,Contains <color=#FF6600>invalid character</color>.,<color=#FF6600>유효하지 않은 문자</color>가\n포함되었습니다.,<color=#FF6600>無効な文字</color>が含まれています。,包含<color=#FF6600>无效字符</color>。,包含<color=#FF6600>無效字元</color>。,Contient des <color=#FF6600>caractères invalides</color>.,Contiene <color=#FF6600>caracteres no válidos</color>.,Contiene <color=#FF6600>caratteri non validi</color>.,Enthält <color=#FF6600>ungültige Zeichen</color>.,Contém <color=#FF6600>caractere inválido</color>.,Содержит <color=#FF6600>недопустимый символ</color>.,Mengandung <color=#FF6600>karakter tidak valid</color>.,Chứa <color=#FF6600>ký tự không hợp lệ</color>.,มี <color=#FF6600>อักขระไม่ถูกต้อง</color>,<color=#FF6600>Geçersiz karakter</color> içeriyor.
inappropriate characters,Contains <color=#FF6600>inappropriate characters</color>.,<color=#FF6600>적절하지 않은 문자</color>가\n포함되었습니다.,<color=#FF6600>不適切な文字</color>が含まれています。,包含<color=#FF6600>不当字符</color>。,包含<color=#FF6600>不當字元</color>。,Contient des <color=#FF6600>caractères inappropriés</color>.,Contiene <color=#FF6600>caracteres inapropiados</color>.,Contiene <color=#FF6600>caratteri inappropriati</color>.,Enthält <color=#FF6600>unangemessene Zeichen</color>.,Contém <color=#FF6600>caracteres inadequados</color>.,Содержит <color=#FF6600>некорректные символы</color>.,Mengandung <color=#FF6600>karakter tidak pantas</color>.,Chứa <color=#FF6600>ký tự không phù hợp</color>.,มี <color=#FF6600>อักขระไม่เหมาะสม</color>,<color=#FF6600>Uygunsuz karakter</color> içeriyor.
NicknameChanged,<color=#FF6600>Nickname</color> has been changed.,<color=#FF6600>별명</color>이 변경되었습니다.,<color=#FF6600>ニックネーム</color>が変更されました。,<color=#FF6600>昵称</color>已更改。,<color=#FF6600>暱稱</color>已更改。,<color=#FF6600>Pseudo</color> modifié.,El <color=#FF6600>nombre</color> ha sido cambiado.,<color=#FF6600>Soprannome</color> modificato.,<color=#FF6600>Spitzname</color> wurde geändert.,<color=#FF6600>Apelido</color> alterado.,<color=#FF6600>Ник</color> изменён.,<color=#FF6600>Nama Panggilan</color> telah diubah.,<color=#FF6600>Biệt danh</color> đã thay đổi.,<color=#FF6600>ชื่อเล่น</color> ถูกเปลี่ยนแล้ว,<color=#FF6600>Kullanıcı adı</color> değiştirildi.
FirstNetwork,A network connection is required on first run.,최초 실행시에는 네트워크 연결이 필요합니다.,初回起動時にはネットワーク接続が必要です。,首次运行时需要网络连接。,首次執行時需要網路連線。,Une connexion réseau est requise au premier lancement.,Se requiere conexión a internet al iniciar por primera vez.,È necessaria una connessione di rete al primo avvio.,Beim ersten Start ist eine Netzwerkverbindung erforderlich.,Conexão necessária na primeira execução.,Требуется интернет при первом запуске.,Koneksi internet diperlukan saat pertama kali dijalankan.,Cần kết nối mạng khi chạy lần đầu.,ต้องใช้การเชื่อมต่ออินเทอร์เน็ตในครั้งแรกที่เข้าเล่น,İlk çalıştırmada internet bağlantısı gerekli.
